engine,scenario,accounts,overhead_us,threads,run,tps
LEAP,Uniform,1000,10,4,6,263232
LEAP,Uniform,1000,10,8,0,381008
LEAP,Uniform,1000,10,8,1,376166
LEAP,Uniform,1000,10,8,2,373903
LEAP,Uniform,1000,10,8,3,381825
LEAP,Uniform,1000,10,8,4,405709
LEAP,Uniform,1000,10,8,5,389236
LEAP,Uniform,1000,10,8,6,399992
LEAP,Uniform,1000,10,16,0,494877
LEAP,Uniform,1000,10,16,1,284152
LEAP,Uniform,1000,10,16,2,601837
LEAP,Uniform,1000,10,16,3,529795
LEAP,Uniform,1000,10,16,4,333840
LEAP,Uniform,1000,10,16,5,297382
LEAP,Uniform,1000,10,16,6,621836
Serial,Hotspot_90pct,1000,10,1,0,116107
Serial,Hotspot_90pct,1000,10,1,1,116334
Serial,Hotspot_90pct,1000,10,1,2,116519
Serial,Hotspot_90pct,1000,10,1,3,116337
Serial,Hotspot_90pct,1000,10,1,4,116599
Serial,Hotspot_90pct,1000,10,1,5,116501
Serial,Hotspot_90pct,1000,10,1,6,116612
LEAP-base,Hotspot_90pct,1000,10,1,0,80462
LEAP-base,Hotspot_90pct,1000,10,1,1,80799
LEAP-base,Hotspot_90pct,1000,10,1,2,80987
LEAP-base,Hotspot_90pct,1000,10,1,3,81167
LEAP-base,Hotspot_90pct,1000,10,1,4,80928
LEAP-base,Hotspot_90pct,1000,10,1,5,80373
LEAP-base,Hotspot_90pct,1000,10,1,6,79994
LEAP-base,Hotspot_90pct,1000,10,2,0,151022
