engine,scenario,accounts,overhead_us,threads,run,tps
LEAP-base,Uniform,1000,100,1,5,10985
LEAP-base,Uniform,1000,100,1,6,11009
LEAP-base,Uniform,1000,100,2,0,21694
LEAP-base,Uniform,1000,100,2,1,21764
LEAP-base,Uniform,1000,100,2,2,21717
LEAP-base,Uniform,1000,100,2,3,21852
LEAP-base,Uniform,1000,100,2,4,21669
LEAP-base,Uniform,1000,100,2,5,21728
LEAP-base,Uniform,1000,100,2,6,21684
LEAP-base,Uniform,1000,100,4,0,43340
LEAP-base,Uniform,1000,100,4,1,42235
LEAP-base,Uniform,1000,100,4,2,43293
LEAP-base,Uniform,1000,100,4,3,42911
LEAP-base,Uniform,1000,100,4,4,43242
LEAP-base,Uniform,1000,100,4,5,42959
LEAP-base,Uniform,1000,100,4,6,43070
LEAP-base,Uniform,1000,100,8,0,80992
LEAP-base,Uniform,1000,100,8,1,78510
LEAP-base,Uniform,1000,100,8,2,79140
LEAP-base,Uniform,1000,100,8,3,77852
LEAP-base,Uniform,1000,100,8,4,80698
LEAP-base,Uniform,1000,100,8,5,78121
LEAP-base,Uniform,1000,100,8,6,78698
LEAP-base,Uniform,1000,100,16,0,127082
LEAP-base,Uniform,1000,100,16,1,131663
LEAP-base,Uniform,1000,100,16,2,120410
LEAP-base,Uniform,1000,100,16,3,128111
LEAP-base,Uniform,1000,100,16,4,131225
LEAP-base,Uniform,1000,100,16,5,123182
LEAP-base,Uniform,1000,100,16,6,132927
LEAP,Uniform,1000,100,1,0,11061
LEAP,Uniform,1000,100,1,1,11094
LEAP,Uniform,1000,100,1,2,11045
LEAP,Uniform,1000,100,1,3,11060
LEAP,Uniform,1000,100,1,4,11066
LEAP,Uniform,1000,100,1,5,11062
LEAP,Uniform,1000,100,1,6,11044
LEAP,Uniform,1000,100,2,0,21820
LEAP,Uniform,1000,100,2,1,21860
LEAP,Uniform,1000,100,2,2,21828
LEAP,Uniform,1000,100,2,3,21726
LEAP,Uniform,1000,100,2,4,21769
LEAP,Uniform,1000,100,2,5,21749
LEAP,Uniform,1000,100,2,6,21790
LEAP,Uniform,1000,100,4,0,43005
LEAP,Uniform,1000,100,4,1,42831
LEAP,Uniform,1000,100,4,2,42847
LEAP,Uniform,1000,100,4,3,42801
LEAP,Uniform,1000,100,4,4,42148
LEAP,Uniform,1000,100,4,5,41791
LEAP,Uniform,1000,100,4,6,42169
LEAP,Uniform,1000,100,8,0,72653
LEAP,Uniform,1000,100,8,1,74584
LEAP,Uniform,1000,100,8,2,77772
LEAP,Uniform,1000,100,8,3,78319
LEAP,Uniform,1000,100,8,4,75034
LEAP,Uniform,1000,100,8,5,75652
LEAP,Uniform,1000,100,8,6,74011
LEAP,Uniform,1000,100,16,0,107290
LEAP,Uniform,1000,100,16,1,112725
LEAP,Uniform,1000,100,16,2,111168
LEAP,Uniform,1000,100,16,3,111560
LEAP,Uniform,1000,100,16,4,118803
LEAP,Uniform,1000,100,16,5,109314
LEAP,Uniform,1000,100,16,6,118549
Serial,Hotspot_90pct,1000,100,1,0,11642
Serial,Hotspot_90pct,1000,100,1,1,11641
Serial,Hotspot_90pct,1000,100,1,2,11640
Serial,Hotspot_90pct,1000,100,1,3,11641
Serial,Hotspot_90pct,1000,100,1,4,11640
Serial,Hotspot_90pct,1000,100,1,5,11641
Serial,Hotspot_90pct,1000,100,1,6,11641
LEAP-base,Hotspot_90pct,1000,100,1,0,10976
LEAP-base,Hotspot_90pct,1000,100,1,1,11017
LEAP-base,Hotspot_90pct,1000,100,1,2,11051
LEAP-base,Hotspot_90pct,1000,100,1,3,11019
LEAP-base,Hotspot_90pct,1000,100,1,4,11051
LEAP-base,Hotspot_90pct,1000,100,1,5,11023
LEAP-base,Hotspot_90pct,1000,100,1,6,11052
LEAP-base,Hotspot_90pct,1000,100,2,0,21255
LEAP-base,Hotspot_90pct,1000,100,2,1,21193
LEAP-base,Hotspot_90pct,1000,100,2,2,21248
LEAP-base,Hotspot_90pct,1000,100,2,3,21389
LEAP-base,Hotspot_90pct,1000,100,2,4,21037
LEAP-base,Hotspot_90pct,1000,100,2,5,21078
LEAP-base,Hotspot_90pct,1000,100,2,6,21123
LEAP-base,Hotspot_90pct,1000,100,4,0,25621
LEAP-base,Hotspot_90pct,1000,100,4,1,26284
LEAP-base,Hotspot_90pct,1000,100,4,2,25062
LEAP-base,Hotspot_90pct,1000,100,4,3,25057
LEAP-base,Hotspot_90pct,1000,100,4,4,23593
LEAP-base,Hotspot_90pct,1000,100,4,5,25403
LEAP-base,Hotspot_90pct,1000,100,4,6,25678
LEAP-base,Hotspot_90pct,1000,100,8,0,20725
LEAP-base,Hotspot_90pct,1000,100,8,1,19627
LEAP-base,Hotspot_90pct,1000,100,8,2,21651
LEAP-base,Hotspot_90pct,1000,100,8,3,19664
LEAP-base,Hotspot_90pct,1000,100,8,4,18715
LEAP-base,Hotspot_90pct,1000,100,8,5,19998
LEAP-base,Hotspot_90pct,1000,100,8,6,20497
LEAP-base,Hotspot_90pct,1000,100,16,0,10256
LEAP-base,Hotspot_90pct,1000,100,16,1,11287
LEAP-base,Hotspot_90pct,1000,100,16,2,11013
LEAP-base,Hotspot_90pct,1000,100,16,3,11149
LEAP-base,Hotspot_90pct,1000,100,16,4,11927
LEAP-base,Hotspot_90pct,1000,100,16,5,11786
LEAP-base,Hotspot_90pct,1000,100,16,6,11101
LEAP,Hotspot_90pct,1000,100,1,0,11133
LEAP,Hotspot_90pct,1000,100,1,1,11169
LEAP,Hotspot_90pct,1000,100,1,2,11162
LEAP,Hotspot_90pct,1000,100,1,3,11163
LEAP,Hotspot_90pct,1000,100,1,4,11158
LEAP,Hotspot_90pct,1000,100,1,5,11170
LEAP,Hotspot_90pct,1000,100,1,6,11150
LEAP,Hotspot_90pct,1000,100,2,0,21395
LEAP,Hotspot_90pct,1000,100,2,1,21404
LEAP,Hotspot_90pct,1000,100,2,2,21655
LEAP,Hotspot_90pct,1000,100,2,3,21314
LEAP,Hotspot_90pct,1000,100,2,4,21410
LEAP,Hotspot_90pct,1000,100,2,5,21425
LEAP,Hotspot_90pct,1000,100,2,6,21608
LEAP,Hotspot_90pct,1000,100,4,0,30034
LEAP,Hotspot_90pct,1000,100,4,1,31866
LEAP,Hotspot_90pct,1000,100,4,2,34223
LEAP,Hotspot_90pct,1000,100,4,3,35379
LEAP,Hotspot_90pct,1000,100,4,4,32030
LEAP,Hotspot_90pct,1000,100,4,5,35653
LEAP,Hotspot_90pct,1000,100,4,6,35318
LEAP,Hotspot_90pct,1000,100,8,0,27018
LEAP,Hotspot_90pct,1000,100,8,1,26272
LEAP,Hotspot_90pct,1000,100,8,2,26839
LEAP,Hotspot_90pct,1000,100,8,3,26655
LEAP,Hotspot_90pct,1000,100,8,4,26786
LEAP,Hotspot_90pct,1000,100,8,5,27038
LEAP,Hotspot_90pct,1000,100,8,6,27130
LEAP,Hotspot_90pct,1000,100,16,0,20628
LEAP,Hotspot_90pct,1000,100,16,1,19676
LEAP,Hotspot_90pct,1000,100,16,2,20644
LEAP,Hotspot_90pct,1000,100,16,3,21000
LEAP,Hotspot_90pct,1000,100,16,4,20126
LEAP,Hotspot_90pct,1000,100,16,5,19404
LEAP,Hotspot_90pct,1000,100,16,6,20624
LEAP-base,Hotspot_90pct,50,10,1,0,72812
LEAP-base,Hotspot_90pct,50,10,1,1,74480
LEAP-base,Hotspot_90pct,50,10,1,2,72980
LEAP-base,Hotspot_90pct,50,10,1,3,72942
LEAP-base,Hotspot_90pct,50,10,1,4,72601
LEAP-base,Hotspot_90pct,50,10,1,5,72716
LEAP-base,Hotspot_90pct,50,10,1,6,73245
LEAP-base,Hotspot_90pct,50,10,4,0,115189
LEAP-base,Hotspot_90pct,50,10,4,1,116920
LEAP-base,Hotspot_90pct,50,10,4,2,108192
