experiment,system,variable,nodes,workers,rate,run,consensus_tps,consensus_bps,consensus_latency_ms,e2e_tps,e2e_bps,e2e_latency_ms,with_exec_tps,with_exec_bps,with_exec_latency_ms,duration_s
E2E-3,MP3+LEAP,10,10,1,50000,3,47018.0,24073081.0,575.0,46807.0,23965006.0,791.0,39339.0,20141409.0,4555.0,60.0
E2E-3,MP3+LEAP,20,20,1,50000,1,13732.0,7030830.0,5276.0,13701.0,7014777.0,5469.0,4966.0,2542628.0,22795.0,60.0
E2E-3,MP3+LEAP,20,20,1,50000,2,13233.0,6775528.0,5306.0,13185.0,6750779.0,5565.0,4784.0,2449233.0,22865.0,61.0
E2E-3,MP3+LEAP,20,20,1,50000,3,13360.0,6840502.0,5435.0,13311.0,6815178.0,5654.0,4803.0,2458987.0,22864.0,60.0
E2E-3,Tusk+LeapBase,4,4,1,50000,1,42867.0,21947793.0,860.0,42741.0,21883393.0,1007.0,42168.0,21590119.0,956.0,60.0
E2E-3,Tusk+LeapBase,4,4,1,50000,2,43596.0,22321199.0,873.0,43470.0,22256453.0,1017.0,43460.0,22251303.0,974.0,60.0
E2E-3,Tusk+LeapBase,4,4,1,50000,3,41264.0,21127390.0,913.0,41144.0,21065750.0,1062.0,41103.0,21044644.0,1017.0,60.0
E2E-3,Tusk+LeapBase,10,10,1,50000,1,47009.0,24068649.0,766.0,46759.0,23940472.0,984.0,38740.0,19835032.0,5488.0,60.0
E2E-3,Tusk+LeapBase,10,10,1,50000,2,46426.0,23769984.0,800.0,46175.0,23641680.0,1022.0,38613.0,19770054.0,4418.0,60.0
E2E-3,Tusk+LeapBase,10,10,1,50000,3,47354.0,24245064.0,774.0,47103.0,24116683.0,995.0,39099.0,20018660.0,4893.0,60.0
E2E-3,Tusk+LeapBase,20,20,1,50000,1,13281.0,6799789.0,5643.0,13233.0,6775070.0,5866.0,4869.0,2492683.0,23173.0,61.0
E2E-3,Tusk+LeapBase,20,20,1,50000,2,13427.0,6874618.0,5273.0,13396.0,6858623.0,5521.0,4862.0,2489288.0,22372.0,60.0
E2E-3,Tusk+LeapBase,20,20,1,50000,3,13153.0,6734178.0,5327.0,13105.0,6709721.0,5564.0,4756.0,2435167.0,22564.0,61.0
